Record_ID,Sale_Date,City,Neighborhood,Property_Type,Bedrooms,Bathrooms,Area_sqft,Lot_Size,Floors,House_Age,Garage_Capacity,Distance_to_City,Crime_Rate,School_Rating,Has_Garden,Has_Pool,Condition,Heating_Type,Target_Column
77,2024-10-16,Nashik,Nashik,Villa,2,2,1604.3,2897.9,1,5,0,10.7,4.9,3.3,True,False,Excellent,Solar,15728390.72
78,2024-05-12,Nagpur,Nagpur,Apartment,1,2,1389.0,2080.4,3,24,1,14.0,6.2,2.4,False,False,Fair,Solar,12542105.51
79,2024-07-15,Nagpur,,Apartment,1,2,867.2,,3,33,3,20.8,,,True,False,Good,,8703635.51
80,2025-02-24,Mumbai,Mumbai,Independent House,3,4,1250.0,1441.1,2,33,1,24.3,2.4,2.5,True,False,Good,Electric,13149211.97
81,2025-05-29,Nagpur,Nagpur,Apartment,1,1,858.3,1231.5,2,34,1,15.3,9.5,5.0,False,False,Good,Solar,7265584.89
82,2024-08-15,Mumbai,Mumbai,Villa,4,4,1744.7,3273.6,1,23,0,12.1,7.9,2.8,True,False,Excellent,Electric,17595006.37
83,2024-10-20,Mumbai,Mumbai,Villa,3,3,2057.7,3343.5,1,5,2,37.3,8.6,3.9,True,True,Good,Solar,20447306.77
84,2025-10-16,Nagpur,Nagpur,Villa,1,1,821.8,1152.1,1,16,3,5.3,3.6,2.9,True,True,Excellent,Gas,8593296.52
85,2025-06-20,Mumbai,Mumbai,Apartment,4,3,1805.0,3287.8,1,40,1,12.4,1.0,3.1,False,True,Excellent,Electric,17778573.32
86,2024-12-26,Mumbai,Mumbai,Independent House,3,3,1604.4,3443.4,2,16,0,14.4,7.6,3.9,False,True,Good,Solar,16001429.99
87,2025-06-11,Nashik,Nashik,Independent House,2,1,748.0,888.9,2,8,0,12.4,1.4,2.6,True,False,Poor,Electric,7880154.24
88,2024-07-10,Nashik,Nashik,Villa,4,4,2202.4,5092.3,2,3,2,5.9,4.3,4.7,False,False,Fair,Solar,22071726.17
89,2025-03-12,Thane,Thane,Villa,2,1,1478.2,2872.8,1,27,2,13.5,1.7,4.0,False,False,Fair,Electric,14002929.45
90,2025-09-14,Pune,Pune,Villa,4,5,2474.5,3673.1,1,27,0,27.2,4.7,3.5,True,True,Excellent,Gas,24868052.62
91,2025-01-10,Thane,,Independent House,4,4,2291.8,,1,24,1,27.5,,,True,True,Fair,,22840128.52
92,2024-05-05,Pune,Pune,Apartment,2,2,1611.1,2645.0,3,33,0,11.2,3.3,3.3,False,False,Poor,Gas,15040735.56
93,2025-06-04,Nashik,Nashik,Apartment,2,3,1936.4,3940.5,3,20,0,22.4,3.6,2.9,True,True,Good,Gas,18819755.92
94,2025-08-11,Nagpur,Nagpur,Villa,4,5,1529.0,2682.4,3,23,1,24.9,1.8,2.9,False,False,Excellent,Electric,15499627.21
95,2024-06-14,Pune,,Independent House,1,2,910.3,,1,40,3,20.6,,,True,False,Good,,8474101.98
96,2025-11-05,Pune,Pune,Independent House,4,3,2072.2,2848.9,3,16,2,5.9,3.7,3.6,True,True,Fair,Solar,21008341.91
97,2024-09-07,Nagpur,Nagpur,Independent House,3,2,2465.1,3625.0,1,36,3,25.1,1.3,4.7,False,False,Poor,Electric,23253363.18
98,2025-01-14,Pune,Pune,Apartment,1,1,768.5,1366.4,1,26,2,24.7,3.8,4.2,False,False,Fair,Gas,7141611.44
99,2024-06-12,Pune,Pune,Independent House,1,1,1114.2,1304.6,2,6,3,10.7,8.8,2.5,False,False,Poor,Electric,10190524.57
100,2024-01-09,Thane,Thane,Villa,2,2,1925.2,3350.1,1,32,1,23.8,1.4,2.8,False,False,Good,Electric,17576268.42
101,2025-11-27,Thane,Thane,Apartment,2,1,1380.3,1617.2,3,25,1,15.1,3.6,3.2,False,False,Excellent,Electric,12332495.53
102,2025-04-12,Thane,,Independent House,1,1,471.8,,3,9,3,20.5,,,False,False,Good,,5207374.42
103,2025-03-02,Mumbai,Mumbai,Independent House,3,4,1897.8,3665.1,3,19,3,28.6,3.7,4.4,False,False,Excellent,Solar,18354448.39
104,2024-02-02,Pune,Pune,Independent House,1,2,300.0,633.0,3,14,3,7.6,6.7,3.9,False,True,Excellent,Gas,3793613.09
105,2024-11-28,Thane,,Villa,2,2,1930.8,,3,13,3,35.0,,,True,True,Poor,,18502827.17
106,2024-10-22,Nashik,Nashik,Independent House,5,5,2034.4,3246.8,3,34,2,24.8,2.7,2.7,False,True,Poor,Electric,20596777.8
107,2024-10-21,Mumbai,Mumbai,Apartment,2,2,864.0,1097.9,3,18,3,35.9,4.6,3.0,True,False,Fair,Electric,8565932.2
108,2024-08-19,Thane,Thane,Apartment,1,1,1038.0,1535.8,3,34,2,6.4,6.5,3.8,True,True,Excellent,Electric,9709941.39
109,2024-10-19,Nashik,,Apartment,3,2,1226.7,,1,0,3,26.5,,,True,False,Good,,12567183.71
110,2024-11-01,Mumbai,Mumbai,Apartment,1,1,1430.8,3341.1,1,26,0,39.9,4.6,3.5,False,True,Fair,Electric,12624839.85
111,2024-01-15,Pune,Pune,Villa,2,2,813.3,1863.6,2,8,2,8.5,2.0,2.5,False,False,Good,Gas,8385838.01
112,2025-01-27,Nashik,Nashik,Villa,1,1,953.0,1485.8,2,32,0,8.2,2.3,3.0,True,True,Fair,Electric,9225050.36
113,2025-01-11,Nashik,Nashik,Apartment,1,2,933.4,1932.1,1,23,0,19.2,2.4,4.1,False,True,Good,Electric,9159932.56
114,2025-12-21,Thane,Thane,Independent House,4,4,1974.2,4111.8,2,26,1,30.7,7.1,3.8,True,False,Excellent,Gas,19804699.81
115,2025-04-09,Mumbai,Mumbai,Villa,3,4,2012.9,2636.5,2,34,3,5.5,2.8,3.7,True,False,Poor,Solar,19210874.76
116,2025-04-28,Mumbai,Mumbai,Villa,4,5,2020.8,3343.1,1,1,1,23.6,1.4,3.0,True,True,Good,Gas,21284731.25
117,2024-07-01,Mumbai,Mumbai,Villa,4,4,1637.4,4077.2,2,23,3,34.9,9.2,3.1,True,False,Good,Solar,15366446.79
118,2024-07-12,Nashik,Nashik,Independent House,3,3,2440.4,4985.5,3,29,3,21.7,8.4,2.7,False,True,Excellent,Gas,23085808.67
119,2025-03-25,Nagpur,Nagpur,Apartment,2,1,1690.3,2018.6,3,13,0,18.4,7.0,4.6,True,True,Excellent,Gas,16252510.99
120,2024-10-08,Nashik,,Independent House,3,4,1086.9,,3,20,2,10.2,,,True,False,Good,,11429327.94
121,2024-11-03,Pune,Pune,Apartment,1,1,1224.3,2693.5,2,24,3,16.9,3.7,2.6,False,True,Poor,Gas,11219710.95
122,2024-07-14,Thane,Thane,Villa,1,2,300.0,493.1,2,8,1,13.9,1.7,3.3,False,True,Excellent,Gas,3585593.08
123,2024-09-05,Nagpur,Nagpur,Independent House,4,5,1820.8,2556.1,1,35,2,12.8,9.2,2.6,True,True,Good,Electric,19004429.54
124,2024-07-27,Nashik,Nashik,Villa,4,4,2045.7,3778.6,2,29,2,11.2,5.6,3.5,True,False,Excellent,Solar,20041051.43
125,2025-11-01,Thane,Thane,Villa,3,3,2040.2,4914.0,3,35,3,12.5,2.8,2.7,True,False,Fair,Electric,19269458.12
126,2025-11-15,Mumbai,Mumbai,Apartment,4,4,2200.6,4678.1,2,10,1,6.5,5.9,2.6,True,True,Poor,Gas,22265311.32
127,2024-01-07,Mumbai,Mumbai,Villa,4,3,1699.3,2389.5,2,0,2,3.4,6.7,4.8,False,False,Excellent,Gas,17022470.95
128,2024-07-15,Pune,Pune,Villa,2,1,1106.1,2475.8,3,32,3,32.4,9.2,2.3,True,True,Fair,Electric,10476355.5
129,2025-01-23,Nagpur,Nagpur,Villa,3,3,1556.5,2242.2,3,36,1,12.7,8.5,2.2,True,True,Excellent,Solar,15319795.17
130,2024-03-17,Mumbai,Mumbai,Villa,3,3,1806.1,3417.4,1,21,0,10.0,9.1,4.1,False,False,Excellent,Gas,17305386.09
131,2024-05-23,Nagpur,Nagpur,Independent House,2,3,1891.7,4073.1,3,9,3,37.2,3.7,3.7,False,False,Excellent,Solar,17790506.36
132,2024-12-30,Pune,Pune,Villa,1,1,1486.9,3381.3,2,14,3,38.8,3.9,3.9,False,False,Poor,Gas,13202369.14
133,2025-01-04,Nashik,Nashik,Apartment,1,2,1185.7,2629.1,3,18,0,4.2,2.4,4.1,True,False,Fair,Electric,11250827.14
134,2024-10-25,Mumbai,,Apartment,1,1,1247.4,,3,11,3,5.0,,,False,False,Good,,11975273.62
135,2024-09-14,Nashik,Nashik,Independent House,1,1,746.4,1135.6,2,17,1,3.5,4.9,3.3,False,True,Poor,Solar,7451838.66
136,2025-09-09,Nashik,Nashik,Apartment,1,1,1088.8,2644.1,2,0,3,32.4,4.0,3.0,True,False,Poor,Electric,10153417.93
137,2024-07-23,Thane,Thane,Independent House,3,3,1721.3,3076.7,3,40,1,13.7,3.5,4.4,False,True,Good,Solar,17291424.89
138,2024-09-04,Nashik,Nashik,Apartment,4,4,1512.9,2592.9,2,13,0,32.9,8.2,3.2,False,True,Poor,Electric,15432476.1
139,2025-11-04,Pune,Pune,Apartment,5,6,2867.1,5298.8,3,25,3,22.2,8.1,3.1,True,True,Excellent,Solar,29023558.73
140,2025-02-04,Nashik,Nashik,Independent House,4,4,2248.2,2806.5,1,27,2,9.7,7.7,3.7,True,False,Good,Electric,21970393.89
141,2024-04-09,Nagpur,Nagpur,Independent House,4,4,2074.1,2618.5,3,5,1,14.6,4.1,4.4,False,False,Poor,Electric,20675734.85
142,2024-06-12,Thane,Thane,Villa,4,3,1637.9,3748.9,3,1,0,27.4,2.5,5.0,True,True,Poor,Gas,17464393.57
143,2025-12-21,Nashik,,Apartment,2,3,1708.3,,3,27,1,18.5,,,True,True,Excellent,,16336000.5
144,2025-09-24,Nagpur,Nagpur,Independent House,3,2,1671.4,3407.9,2,16,2,24.3,6.5,3.8,False,False,Fair,Solar,16160021.19
145,2024-07-09,Nagpur,Nagpur,Independent House,1,1,870.0,1328.9,1,15,2,28.0,5.6,3.3,True,False,Good,Solar,7934332.13
146,2025-03-01,Nagpur,Nagpur,Villa,2,2,1706.0,3355.9,2,28,0,19.9,2.8,3.2,False,False,Poor,Gas,16129360.11
147,2024-04-26,Thane,Thane,Independent House,2,2,1608.7,2388.6,3,2,2,7.6,5.1,4.2,False,True,Fair,Solar,16074412.63
148,2024-12-22,Nashik,Nashik,Apartment,4,4,1564.2,2199.2,2,34,0,29.7,6.9,2.7,True,False,Poor,Gas,15417493.02
149,2024-12-25,Thane,Thane,Independent House,4,5,1559.0,3594.1,3,22,3,7.5,2.3,2.6,True,True,Good,Electric,16552903.07
150,2025-12-19,Pune,Pune,Apartment,4,4,1912.4,4742.2,3,32,0,6.3,7.8,3.2,True,False,Good,Solar,18866128.45
151,2024-10-11,Thane,Thane,Villa,3,3,1335.0,1734.2,3,31,2,25.5,4.4,2.2,True,False,Poor,Electric,13298016.46
152,2024-10-01,Nagpur,Nagpur,Villa,3,2,1483.6,2950.5,3,29,2,34.2,8.2,3.2,False,True,Fair,Solar,14303859.21
153,2024-07-26,Nagpur,Nagpur,Apartment,1,1,929.8,1082.6,3,3,3,1.6,9.4,2.5,False,True,Fair,Gas,8904623.09
154,2025-12-21,Mumbai,Mumbai,Apartment,3,4,2220.6,3221.1,2,23,1,3.0,6.6,4.2,True,False,Poor,Gas,21264991.23
155,2024-04-01,Nagpur,Nagpur,Apartment,4,4,1740.7,1934.4,2,0,0,39.5,4.8,2.4,True,True,Excellent,Electric,18229969.72
156,2025-09-22,Nagpur,Nagpur,Apartment,2,1,1216.1,1454.2,3,9,0,24.8,2.5,3.1,True,True,Excellent,Gas,12533869.95
157,2024-07-29,Nashik,Nashik,Independent House,4,4,1663.4,4072.9,2,22,1,10.7,6.8,2.7,False,True,Good,Solar,17081988.15
158,2025-08-05,Nagpur,Nagpur,Independent House,1,1,939.6,1181.9,2,24,0,21.6,9.8,5.0,False,True,Good,Electric,9162710.02
159,2025-12-19,Nagpur,Nagpur,Independent House,3,4,2322.8,2599.9,1,4,0,37.0,9.5,3.2,False,False,Good,Electric,21875014.38
160,2024-03-29,Pune,Pune,Apartment,2,1,1675.5,2609.6,3,34,0,13.1,4.9,4.9,True,True,Poor,Solar,16344797.37
161,2024-05-09,Nashik,Nashik,Villa,3,4,1166.6,1478.3,3,11,1,28.4,2.5,4.9,False,True,Excellent,Gas,12452098.18
162,2024-09-18,Pune,Pune,Independent House,3,2,1230.4,2580.4,3,16,0,20.3,5.6,2.2,True,False,Excellent,Gas,12443952.85
163,2024-09-11,Nashik,Nashik,Independent House,1,1,1497.9,2637.1,2,2,1,8.0,9.6,2.1,False,True,Fair,Electric,14079834.37
164,2024-03-29,Nashik,Nashik,Apartment,2,3,1799.2,2430.8,3,3,0,38.2,1.6,3.4,False,False,Fair,Gas,16878596.62
165,2025-02-23,Mumbai,Mumbai,Independent House,3,4,1273.6,2228.2,3,15,3,39.9,8.0,4.2,True,True,Fair,Solar,13866609.62
166,2025-12-29,Pune,Pune,Apartment,4,3,2046.4,4683.4,3,24,2,5.1,5.8,2.7,False,True,Good,Solar,19766736.92
167,2024-08-30,Pune,Pune,Villa,1,2,591.8,1132.2,3,5,1,25.9,4.5,3.8,True,False,Poor,Solar,6478780.75
168,2024-11-17,Nagpur,Nagpur,Independent House,3,3,1718.7,2070.3,1,14,1,31.4,6.3,2.5,True,False,Fair,Gas,16447227.88
169,2025-06-09,Nagpur,Nagpur,Villa,1,1,967.4,2157.9,2,10,0,9.4,8.7,2.4,True,False,Fair,Gas,9167290.18
170,2025-02-14,Pune,Pune,Independent House,3,4,1999.3,2898.6,2,35,0,32.4,2.3,2.0,True,True,Excellent,Solar,19789230.28
171,2025-04-17,Mumbai,Mumbai,Independent House,1,1,542.8,747.4,3,4,3,32.6,1.8,4.5,False,True,Poor,Solar,5514249.8
172,2025-02-25,Nagpur,Nagpur,Villa,3,3,1403.3,2239.1,1,11,2,11.9,9.0,2.1,True,False,Excellent,Gas,13951105.21
173,2025-05-29,Thane,Thane,Villa,1,2,1449.5,2100.0,3,33,0,39.6,8.0,3.1,False,False,Good,Gas,12924380.67
174,2025-08-12,Pune,Pune,Villa,2,1,1352.6,2490.3,3,30,1,39.0,1.9,4.0,False,True,Fair,Gas,13129491.1
175,2024-11-12,Thane,Thane,Apartment,4,5,1800.0,4283.3,1,22,2,38.0,6.1,3.7,True,False,Excellent,Gas,18414724.73
176,2024-05-31,Mumbai,Mumbai,Apartment,4,4,1538.3,2406.5,3,0,1,32.5,4.1,2.5,False,True,Excellent,Solar,16274161.9
177,2024-06-27,Nashik,Nashik,Independent House,4,5,2314.5,4444.9,2,25,2,13.6,9.8,4.2,False,False,Fair,Gas,21864109.97
178,2024-11-21,Thane,Thane,Independent House,2,2,1035.5,1323.6,3,18,0,38.0,9.5,3.2,True,True,Good,Solar,9839422.72
179,2024-09-28,Mumbai,Mumbai,Independent House,1,1,423.6,607.1,2,4,1,25.8,9.7,4.5,False,False,Excellent,Electric,3676939.18
180,2025-08-14,Nagpur,Nagpur,Independent House,1,1,1490.0,2553.1,2,24,1,35.5,5.4,3.1,False,True,Good,Gas,13878337.88
181,2025-08-31,Nashik,Nashik,Villa,1,1,645.7,998.4,1,1,0,14.3,9.0,2.5,True,True,Excellent,Electric,6915260.05
182,2024-08-31,Nashik,Nashik,Villa,3,2,1780.8,2211.4,1,3,1,17.0,6.0,4.8,False,False,Poor,Gas,17228854.41
183,2024-11-11,Mumbai,Mumbai,Villa,2,2,1541.2,2990.4,1,40,0,2.0,2.5,2.9,True,False,Poor,Solar,14724439.25
184,2024-03-04,Thane,Thane,Independent House,2,1,1432.5,3351.7,2,23,1,18.4,3.4,3.4,True,False,Excellent,Gas,14061947.02
185,2024-03-21,Nashik,Nashik,Independent House,2,3,1053.0,1974.4,2,14,3,38.7,7.2,4.8,True,False,Excellent,Solar,10025333.88
186,2025-03-09,Mumbai,Mumbai,Independent House,2,3,956.3,1249.4,2,39,1,38.0,2.5,2.6,True,True,Poor,Gas,9620312.56
187,2025-12-18,Mumbai,Mumbai,Independent House,5,5,2202.3,5230.8,1,20,0,16.1,4.6,3.0,False,False,Poor,Gas,21922605.13
188,2025-11-01,Nagpur,Nagpur,Independent House,3,4,1256.7,3009.8,3,6,0,31.6,8.8,4.6,False,False,Poor,Gas,12711716.26
189,2024-11-06,Nashik,Nashik,Villa,4,5,1738.5,2006.7,2,25,1,2.9,5.3,2.8,False,True,Excellent,Gas,18226316.1
