Gender,Age,AnnualIncome,DeviceType,TimeSpentOnSite,PagesViewed,PreviousPurchases,DiscountOffered,EmailOpened,AdClicked,MembershipType,Purchase
Male,28,52853.96,Desktop,1.29,9,2,Yes,Yes,Yes,No Membership,Yes
Female,40,71555.47,Desktop,7.02,2,3,No,No,No,No Membership,Yes
Male,51,42157.46,Mobile,14.0,3,5,Yes,No,No,No Membership,Yes
Male,57,27880.97,Mobile,1.07,6,2,No,No,No,No Membership,No
Male,40,27778.64,Desktop,0.54,5,0,No,No,Yes,No Membership,No
Male,46,40665.26,Mobile,8.04,7,1,Yes,No,No,Premium,Yes
Female,48,66873.74,Mobile,1.91,2,0,No,Yes,No,No Membership,No
Male,24,47389.62,Mobile,5.87,8,0,Yes,Yes,No,Premium,Yes
Female,57,58681.29,Desktop,7.14,7,5,No,No,No,No Membership,Yes
Female,50,46084.67,Tablet,2.33,2,0,Yes,No,No,No Membership,No
Male,38,46227.57,Mobile,10.13,6,1,No,No,No,Premium,Yes
Female,19,36541.65,Mobile,4.79,3,0,Yes,Yes,No,No Membership,Yes
Female,35,53345.88,Mobile,12.2,4,0,Yes,Yes,No,Basic,Yes
Male,64,51847.05,Mobile,8.65,5,2,No,No,No,Premium,Yes
Male,50,62427.97,Desktop,12.18,4,2,No,Yes,No,No Membership,Yes
Male,54,60178.56,Mobile,0.12,6,1,No,Yes,No,Basic,No
Male,51,51451.35,Mobile,1.67,5,0,Yes,Yes,No,No Membership,No
Male,37,27890.4,Desktop,0.57,6,1,No,Yes,No,No Membership,No
Female,52,74270.43,Desktop,3.5,3,1,No,Yes,No,Basic,No
Female,35,53469.2,Mobile,13.24,4,1,No,Yes,No,Basic,No
Male,63,56433.57,Mobile,3.78,3,3,No,No,Yes,No Membership,Yes
Male,41,83808.91,Tablet,11.37,4,1,Yes,No,No,Basic,Yes
Female,25,71348.0,Mobile,2.38,4,4,No,No,No,No Membership,No
Male,47,63036.09,Desktop,2.49,5,0,No,Yes,No,Basic,No
Male,61,54958.5,Mobile,13.55,4,1,Yes,Yes,No,No Membership,Yes
Male,27,54790.38,Desktop,3.33,6,3,No,Yes,No,Premium,Yes
Female,40,59322.06,Desktop,9.36,5,3,No,Yes,Yes,Premium,Yes
Male,28,62324.32,Desktop,1.62,7,3,No,Yes,No,Basic,Yes
Female,19,85805.23,Desktop,17.83,5,3,Yes,Yes,Yes,No Membership,Yes
Female,43,99518.79,Tablet,5.13,5,0,No,No,No,Basic,Yes
Male,53,60224.69,Desktop,8.55,6,0,No,No,No,Basic,No
Female,50,16241.03,Mobile,0.56,3,2,Yes,Yes,Yes,Basic,Yes
Male,64,37868.6,Mobile,4.07,7,1,No,Yes,No,Premium,Yes
Female,30,87606.94,Desktop,13.88,6,3,No,Yes,No,Basic,Yes
Female,57,67935.75,Desktop,12.58,7,5,No,Yes,No,Premium,Yes
Female,42,62668.84,Mobile,0.29,7,0,Yes,Yes,Yes,No Membership,Yes
Male,21,51996.92,Mobile,2.17,5,1,Yes,Yes,No,Premium,Yes
Female,59,33597.6,Desktop,3.51,5,1,No,No,No,Basic,No
Male,36,85200.22,Mobile,1.13,5,2,No,No,Yes,Basic,No
Male,35,40182.22,Mobile,7.86,7,2,No,No,No,Basic,Yes
Male,54,68127.61,Desktop,1.22,3,0,No,Yes,No,No Membership,Yes
Female,47,31587.37,Desktop,2.55,6,3,No,No,No,Basic,No
Female,36,51123.72,Mobile,6.53,6,1,No,No,No,Basic,Yes
Male,40,72873.23,Mobile,3.95,3,0,No,No,Yes,No Membership,Yes
Female,33,50505.5,Mobile,8.05,8,2,No,Yes,Yes,Premium,Yes
Male,18,48367.9,Mobile,19.5,7,1,Yes,No,Yes,Premium,Yes
Female,29,55191.45,Desktop,0.74,3,1,Yes,Yes,No,No Membership,No
Male,41,30951.95,Mobile,7.42,4,2,Yes,No,No,Premium,Yes
Female,51,27565.36,Mobile,1.57,2,3,No,Yes,No,Basic,No
Male,25,67856.26,Mobile,3.21,4,2,Yes,Yes,No,No Membership,Yes
Female,35,47400.22,Mobile,0.2,3,2,Yes,No,No,Basic,Yes
Male,22,67716.73,Tablet,0.88,5,2,No,No,No,Premium,Yes
Male,43,75127.29,Mobile,2.31,6,3,No,No,No,No Membership,Yes
Male,47,76575.57,Desktop,2.51,6,1,Yes,No,No,No Membership,Yes
Female,30,25821.85,Desktop,13.79,4,3,Yes,No,No,No Membership,No
Female,36,42439.07,Mobile,8.12,4,3,No,No,No,Premium,Yes
Male,46,64676.54,Desktop,21.49,5,3,Yes,No,No,Basic,Yes
Female,20,64954.03,Mobile,5.48,8,3,No,No,Yes,No Membership,Yes
Female,43,95489.88,Desktop,1.66,5,4,No,Yes,Yes,Basic,Yes
Female,57,38662.96,Mobile,2.38,8,1,Yes,Yes,No,Premium,Yes
Female,29,76027.03,Desktop,2.31,2,1,No,Yes,No,No Membership,Yes
Male,19,61700.94,Mobile,2.37,7,1,Yes,Yes,No,No Membership,No
Male,28,25475.75,Desktop,6.71,11,1,No,Yes,Yes,Basic,Yes
Female,61,45139.33,Mobile,4.54,4,1,No,No,Yes,Premium,No
Female,45,59725.5,Desktop,2.92,6,0,No,Yes,No,Basic,Yes
Female,35,24321.4,Mobile,0.97,3,2,Yes,No,No,Basic,Yes
Male,30,17669.69,Desktop,0.13,3,0,Yes,Yes,No,Basic,Yes
Male,54,23297.63,Mobile,1.48,1,1,Yes,No,No,No Membership,No
Female,39,59664.41,Mobile,0.68,3,0,No,No,No,No Membership,No
Female,29,46275.99,Desktop,9.24,6,2,No,No,No,No Membership,Yes
Female,19,43840.8,Tablet,0.72,3,0,No,Yes,No,Premium,Yes
Female,54,44458.81,Mobile,7.73,2,0,Yes,No,No,Basic,No
Female,24,29365.8,Tablet,2.92,6,1,Yes,No,No,Basic,No
Male,43,46784.74,Desktop,0.46,4,2,Yes,No,Yes,Basic,No
Male,43,22232.84,Desktop,10.05,3,2,No,No,No,No Membership,No
Female,41,76377.54,Mobile,5.2,6,3,No,No,No,Basic,Yes
Female,29,85461.93,Mobile,1.61,2,1,No,No,Yes,Basic,Yes
Male,33,13130.85,Desktop,13.5,3,2,Yes,Yes,Yes,No Membership,Yes
Male,40,46555.67,Mobile,0.28,10,2,No,No,No,Basic,Yes
Female,57,47727.79,Mobile,1.35,7,1,Yes,Yes,Yes,Premium,Yes
Male,26,51859.28,Mobile,8.37,4,1,No,No,No,Basic,No
Male,49,73027.55,Mobile,7.41,1,1,Yes,No,No,No Membership,Yes
Female,32,46608.21,Desktop,2.05,3,4,No,No,No,No Membership,Yes
Female,54,53411.47,Desktop,0.38,7,2,No,Yes,No,Premium,No
Female,30,108622.99,Desktop,11.71,7,0,No,No,No,No Membership,Yes
Male,22,52996.73,Mobile,2.26,3,2,Yes,Yes,Yes,No Membership,Yes
Female,28,86792.32,Mobile,1.31,7,3,Yes,No,No,No Membership,Yes
Male,27,64035.78,Mobile,4.35,2,1,Yes,Yes,No,No Membership,Yes
Male,30,45033.24,Mobile,14.46,5,4,No,Yes,No,Basic,Yes
Female,58,42026.79,Desktop,0.27,2,0,Yes,Yes,No,Basic,Yes
Female,63,54869.09,Desktop,8.71,4,2,No,Yes,Yes,Premium,Yes
Female,32,34723.48,Mobile,5.1,5,3,No,Yes,No,Premium,Yes
Female,59,39450.41,Desktop,3.32,3,2,Yes,Yes,No,No Membership,Yes
Female,24,47384.91,Mobile,8.18,4,2,No,Yes,No,Basic,Yes
Male,57,60280.18,Desktop,20.26,5,1,No,No,No,Premium,No
Male,45,87867.95,Mobile,1.56,2,2,Yes,Yes,No,Premium,Yes
Male,49,46270.82,Desktop,0.93,5,0,Yes,No,No,Premium,Yes
Male,52,63307.32,Mobile,14.64,6,0,Yes,Yes,No,Basic,Yes
Female,32,25697.84,Mobile,6.63,2,0,No,No,No,Basic,Yes
Male,53,74085.2,Mobile,3.46,5,2,Yes,No,No,Basic,Yes
Female,38,24009.71,Mobile,5.11,5,0,No,No,Yes,Premium,Yes
Female,23,69370.96,Mobile,8.21,7,2,No,Yes,No,Premium,Yes
Female,18,53543.35,Mobile,8.9,8,1,No,No,Yes,Basic,Yes
Female,21,52828.25,Mobile,15.15,7,1,No,Yes,No,No Membership,Yes
Female,28,49595.24,Desktop,3.34,4,1,No,No,No,No Membership,No
Male,61,31577.45,Mobile,2.08,7,3,Yes,No,Yes,Basic,Yes
Male,43,32531.13,Desktop,6.12,6,0,No,No,Yes,No Membership,No
Female,54,70057.36,Mobile,3.22,7,1,Yes,Yes,No,Basic,Yes
Male,40,55214.86,Tablet,5.42,5,0,No,Yes,Yes,No Membership,Yes
Male,46,49463.98,Tablet,3.27,5,0,No,No,No,No Membership,No
Female,38,62981.16,Mobile,1.0,5,1,No,No,No,Basic,No
Male,62,56823.59,Desktop,3.8,7,3,Yes,Yes,Yes,No Membership,Yes
Female,62,40727.23,Mobile,7.04,5,1,Yes,Yes,No,Basic,Yes
Female,44,99297.93,Tablet,9.64,2,0,Yes,Yes,No,No Membership,Yes
Female,56,68333.61,Mobile,4.08,4,4,Yes,Yes,No,Premium,Yes
Male,57,57287.23,Mobile,1.08,7,3,No,Yes,Yes,Premium,Yes
Male,30,45755.0,Mobile,3.21,7,1,Yes,No,No,No Membership,No
Female,40,72149.67,Mobile,9.26,6,1,No,Yes,No,Basic,Yes
Male,33,40823.78,Mobile,3.19,3,3,No,No,No,Premium,Yes
Female,47,39308.05,Desktop,7.15,1,0,No,Yes,Yes,Basic,No
Female,21,85479.86,Mobile,4.25,4,2,No,No,Yes,No Membership,No
Female,57,,Mobile,1.66,9,4,Yes,No,No,No Membership,Yes
Male,33,41259.71,Mobile,9.54,5,5,Yes,No,No,No Membership,Yes
Male,48,55102.34,Mobile,0.53,4,2,Yes,No,Yes,Premium,Yes
Female,59,70303.36,Mobile,4.47,4,1,Yes,No,No,No Membership,Yes
Male,42,66182.58,Desktop,1.41,7,2,Yes,Yes,Yes,Basic,Yes
Male,61,72536.72,Mobile,0.42,4,1,No,No,No,No Membership,No
Female,29,32507.99,Desktop,4.19,6,2,Yes,Yes,Yes,Basic,Yes
Female,43,72084.68,Mobile,4.15,2,2,No,No,No,Basic,No
Female,54,51776.94,Mobile,7.36,7,1,No,Yes,No,No Membership,Yes
Female,50,56603.81,Desktop,8.19,3,3,No,Yes,Yes,Basic,No
Male,45,76770.9,Mobile,7.81,3,1,No,No,Yes,Premium,No
Female,26,67649.06,Mobile,3.16,6,0,No,No,No,No Membership,Yes
Female,29,61318.94,Desktop,5.99,4,1,No,Yes,No,Premium,Yes
Male,22,19288.06,Mobile,5.16,7,2,Yes,No,Yes,Premium,Yes
Female,45,54180.97,Mobile,3.28,6,3,No,No,No,Premium,Yes
Female,52,40875.84,Desktop,5.46,8,4,Yes,Yes,No,No Membership,No
Female,22,67798.82,Desktop,17.65,3,0,Yes,Yes,No,Premium,Yes
Female,51,72837.25,Mobile,1.29,5,1,No,No,No,No Membership,No
Female,63,49563.44,Mobile,14.17,6,1,No,Yes,No,Basic,Yes
Male,51,42993.25,Mobile,0.33,3,4,No,No,No,Premium,Yes
Male,30,83013.41,Mobile,2.21,4,2,No,Yes,No,Premium,Yes
Female,56,44143.34,Desktop,2.04,8,2,No,Yes,No,Premium,Yes
Female,59,33498.32,Desktop,5.91,4,0,No,No,No,Premium,Yes
Female,62,40011.92,Desktop,0.84,4,2,No,No,Yes,Premium,No
Female,31,45010.01,Mobile,12.84,4,1,No,Yes,No,Premium,No
Female,28,39495.47,Mobile,10.58,4,5,Yes,No,No,Premium,Yes
Female,59,70217.04,Desktop,6.33,8,1,Yes,No,No,No Membership,Yes
Female,55,15437.56,Mobile,3.68,7,1,No,No,Yes,Basic,No
Female,21,39113.91,Desktop,16.21,7,2,No,Yes,No,Premium,Yes
Female,50,54145.05,Desktop,10.66,5,0,No,No,No,Basic,Yes
Female,24,58784.43,Tablet,4.15,7,0,No,Yes,Yes,Basic,No
Female,58,85453.03,Mobile,7.26,4,1,No,No,No,Basic,Yes
Male,25,82814.28,Mobile,5.02,7,4,No,No,Yes,No Membership,Yes
Male,54,26186.73,Desktop,5.32,2,0,No,No,No,No Membership,No
Male,27,20655.14,Desktop,2.41,2,4,Yes,No,No,Basic,Yes
Female,60,55449.48,Desktop,3.72,5,0,No,No,No,No Membership,Yes
Male,32,42882.67,Mobile,0.49,5,1,Yes,No,No,Basic,No
Male,55,33543.53,Desktop,2.65,8,1,No,No,No,No Membership,No
Female,32,55290.18,Desktop,7.14,6,0,No,No,No,Basic,Yes
Male,22,59152.55,Mobile,18.37,5,1,Yes,No,No,Premium,Yes
Female,46,39898.57,Mobile,19.79,8,2,No,Yes,No,No Membership,Yes
Male,36,43766.47,Desktop,4.87,5,3,No,No,Yes,Premium,Yes
Male,27,41283.25,Mobile,5.6,7,3,No,No,No,Premium,Yes
Female,29,47593.16,Mobile,1.23,4,1,No,No,No,No Membership,Yes
Male,21,64745.99,Desktop,7.13,7,1,Yes,No,No,No Membership,Yes
Male,48,35597.69,Mobile,0.44,6,4,Yes,Yes,No,No Membership,Yes
Female,35,43467.67,Desktop,2.01,5,2,No,No,Yes,Basic,Yes
Female,33,47812.92,Mobile,6.62,3,1,No,Yes,Yes,Basic,No
Male,57,54878.46,Mobile,2.23,5,4,Yes,No,No,No Membership,Yes
Female,53,59967.72,Tablet,0.31,5,2,No,No,No,Basic,Yes
Male,42,91760.64,Tablet,10.7,4,3,No,No,Yes,Basic,Yes
Male,40,65298.26,Mobile,2.23,1,1,No,No,No,Basic,Yes
Female,29,65726.76,Desktop,0.39,6,1,Yes,No,No,No Membership,Yes
Female,51,50200.97,Mobile,0.47,6,0,No,Yes,No,Premium,No
Female,53,37362.42,Mobile,1.74,7,1,Yes,No,Yes,Basic,No
Female,54,45492.15,Mobile,1.18,8,2,No,No,No,Basic,No
Female,20,42214.02,Mobile,8.93,7,2,No,Yes,No,Premium,Yes
Female,26,62060.15,Desktop,2.33,1,0,No,Yes,No,Basic,No
Male,35,25276.93,Desktop,9.8,5,0,No,No,No,Basic,No
Female,60,65665.61,Tablet,1.15,4,0,No,No,Yes,No Membership,No
Male,52,52889.69,Desktop,4.07,8,2,Yes,No,No,Basic,Yes
Male,51,68200.27,Mobile,6.99,3,1,Yes,No,No,Basic,Yes
Male,58,41969.65,Desktop,6.33,1,4,Yes,No,Yes,Premium,Yes
Male,31,38775.35,Tablet,5.51,2,3,No,Yes,No,No Membership,Yes
Female,21,47679.96,Desktop,15.53,3,2,No,No,No,Basic,Yes
Female,46,47248.31,Desktop,1.56,7,1,No,Yes,No,Basic,No
Female,58,69514.27,Tablet,4.08,4,1,No,No,Yes,Premium,No
Male,62,69342.49,Mobile,12.92,7,2,Yes,No,No,Basic,Yes
Male,32,89290.42,Desktop,0.49,11,2,Yes,No,Yes,No Membership,Yes
Male,45,46081.14,Desktop,0.35,3,3,Yes,Yes,Yes,No Membership,No
Male,59,12000.0,Tablet,1.59,7,1,Yes,No,No,Basic,Yes
Female,33,47630.39,Mobile,6.01,5,1,No,No,No,No Membership,No
Female,29,59151.84,Mobile,1.81,9,1,No,No,No,No Membership,Yes
Female,22,67861.55,Desktop,1.27,5,1,Yes,No,No,No Membership,No
Male,51,60464.88,Mobile,3.68,7,4,Yes,No,Yes,Premium,Yes
Female,59,46067.0,Desktop,5.71,4,3,No,No,Yes,Basic,Yes
Female,18,85854.96,Mobile,1.71,3,1,Yes,No,No,No Membership,Yes
Female,56,36392.76,Mobile,2.15,5,2,No,No,No,No Membership,Yes
Female,49,50056.39,Mobile,5.7,4,2,No,No,No,No Membership,No
Male,43,35561.62,Mobile,17.48,8,3,No,Yes,No,No Membership,Yes
Male,34,55352.38,Mobile,6.74,4,2,No,Yes,No,No Membership,Yes
Male,44,83602.1,Mobile,9.16,3,0,Yes,No,Yes,Premium,Yes
Female,41,52463.33,Mobile,2.74,5,3,Yes,No,No,Premium,Yes
Male,52,52573.6,Mobile,1.91,2,1,No,No,No,Basic,Yes
Male,63,24472.68,Mobile,3.63,6,2,Yes,No,No,Basic,Yes
Male,59,49834.14,Mobile,9.87,6,2,No,Yes,Yes,No Membership,Yes
Male,56,75708.77,Desktop,3.66,3,1,Yes,No,Yes,Basic,No
Female,43,50495.75,Desktop,11.25,4,3,Yes,Yes,Yes,Basic,Yes
Female,55,49279.78,Mobile,26.94,5,0,Yes,Yes,No,Basic,Yes
Male,40,74902.86,Mobile,0.45,7,2,Yes,Yes,Yes,No Membership,Yes
Male,39,49355.85,Desktop,0.28,6,2,No,Yes,No,Premium,Yes
Male,21,78256.97,Mobile,0.97,3,2,Yes,Yes,No,Basic,Yes
Male,26,31876.49,Tablet,2.91,6,1,No,No,No,No Membership,Yes
Male,21,67201.37,Desktop,0.84,3,0,No,Yes,Yes,Premium,No
Male,24,84633.93,Mobile,12.27,6,2,No,Yes,Yes,Premium,Yes
Male,40,73141.42,Mobile,0.14,2,1,No,Yes,No,No Membership,Yes
Female,19,21389.08,Mobile,2.28,3,2,Yes,Yes,No,Premium,Yes
Female,41,43510.54,Mobile,1.23,4,3,Yes,No,No,No Membership,Yes
Male,57,50644.87,Mobile,16.09,11,2,No,Yes,No,Basic,Yes
Male,48,73179.2,Mobile,6.64,5,2,No,Yes,Yes,Basic,Yes
Female,64,31030.87,Desktop,14.58,4,1,Yes,No,No,Premium,Yes
Female,48,36659.14,Mobile,21.52,3,1,No,Yes,No,Basic,Yes
Female,64,26107.27,Mobile,4.12,2,0,Yes,No,No,No Membership,Yes
Female,57,40135.6,Desktop,1.6,7,3,Yes,Yes,No,No Membership,Yes
Male,60,32471.08,Mobile,1.29,4,1,No,Yes,No,No Membership,No
